beta,lambda_B_r0,lambda_B_r1
4.407100524401274533e-01,nan,nan
8.000000000000000444e-01,nan,nan
8.012658227848101777e-01,nan,nan
8.025316455696203111e-01,nan,nan
8.037974683544304444e-01,nan,nan
8.050632911392405777e-01,nan,nan
8.063291139240507110e-01,nan,nan
8.075949367088608444e-01,nan,nan
8.088607594936709777e-01,nan,nan
8.101265822784811110e-01,nan,nan
8.113924050632911333e-01,nan,nan
8.126582278481012667e-01,nan,nan
8.139240506329114000e-01,nan,nan
8.151898734177215333e-01,nan,nan
8.164556962025316666e-01,nan,nan
8.177215189873418000e-01,nan,nan
8.189873417721519333e-01,nan,nan
8.202531645569620666e-01,nan,nan
8.215189873417722000e-01,nan,nan
8.227848101265823333e-01,nan,nan
8.240506329113924666e-01,nan,nan
8.253164556962025999e-01,nan,nan
8.265822784810127333e-01,nan,nan
8.278481012658228666e-01,nan,nan
8.291139240506329999e-01,nan,nan
8.303797468354430222e-01,nan,nan
8.316455696202531556e-01,nan,nan
8.329113924050632889e-01,nan,nan
8.341772151898734222e-01,nan,nan
8.354430379746835555e-01,nan,nan
8.367088607594936889e-01,nan,nan
8.379746835443038222e-01,nan,nan
8.392405063291139555e-01,nan,nan
8.405063291139240889e-01,nan,nan
8.417721518987342222e-01,nan,nan
8.430379746835443555e-01,nan,nan
8.443037974683544888e-01,nan,nan
8.455696202531646222e-01,nan,nan
8.468354430379747555e-01,nan,nan
8.481012658227848888e-01,nan,nan
8.493670886075950222e-01,nan,nan
8.506329113924051555e-01,nan,nan
8.518987341772151778e-01,nan,nan
8.531645569620253111e-01,nan,nan
8.544303797468354444e-01,nan,nan
8.556962025316455778e-01,nan,nan
8.569620253164557111e-01,nan,nan
8.582278481012658444e-01,nan,nan
8.594936708860759778e-01,nan,nan
8.607594936708861111e-01,nan,nan
8.620253164556962444e-01,nan,nan
8.632911392405063777e-01,nan,nan
8.645569620253165111e-01,nan,nan
8.658227848101266444e-01,nan,nan
8.670886075949367777e-01,nan,nan
8.683544303797469111e-01,nan,nan
8.696202531645569334e-01,nan,nan
8.708860759493670667e-01,nan,nan
8.721518987341772000e-01,nan,nan
8.734177215189873333e-01,nan,nan
8.746835443037974667e-01,nan,nan
8.759493670886076000e-01,nan,nan
8.772151898734177333e-01,nan,nan
8.784810126582278667e-01,nan,nan
8.797468354430380000e-01,nan,nan
8.810126582278481333e-01,nan,nan
8.815693488197207106e-01,-9.995570245131357723e-01,9.995570245131357723e-01
