beta,lambda_c1,lambda_c2
2.000000000000000111e-01,nan,nan
2.086010436124213774e-01,nan,nan
2.175719769809566217e-01,nan,nan
2.269287072952263506e-01,nan,nan
2.366878258370095633e-01,nan,nan
2.468666373997760455e-01,nan,nan
2.574831909734124902e-01,nan,nan
2.685563117485511575e-01,nan,nan
2.801056344972527312e-01,nan,nan
2.921516383892318602e-01,nan,nan
3.047156833053625835e-01,nan,nan
3.178200477128535484e-01,nan,nan
3.314879681692539659e-01,nan,nan
3.457436805253374934e-01,nan,nan
3.606124628999249349e-01,nan,nan
3.761206805028496358e-01,nan,nan
3.922958323855426643e-01,nan,nan
4.000000000000000222e-01,nan,nan
4.026425565401589579e-01,nan,nan
4.053025708429878193e-01,nan,nan
4.079801582412987404e-01,nan,nan
4.091666002021386306e-01,nan,nan
4.106754348298378710e-01,nan,nan
4.133885174703184062e-01,nan,nan
4.161195237964879223e-01,nan,nan
4.188685722192286298e-01,nan,nan
4.216357819316910449e-01,nan,nan
4.244212729144626328e-01,nan,nan
4.267628990675624845e-01,nan,nan
4.272251659407694246e-01,nan,nan
4.300475825817126063e-01,nan,nan
4.328886452115397465e-01,nan,nan
4.357484770129505525e-01,nan,nan
4.386272019824377644e-01,nan,nan
4.407100524401274533e-01,-9.966611140894763299e-01,9.966611140894763299e-01
4.415249449356635769e-01,-9.933222064974986942e-01,9.933222064974986942e-01
4.444418315128712549e-01,-9.799666179237445096e-01,9.799666179237446206e-01
4.451159306027798190e-01,-9.799666114199517830e-01,9.799666114199518940e-01
4.473779881843326645e-01,-9.699499169312177926e-01,9.699499169312179037e-01
4.503335422558319423e-01,-9.565943243466127344e-01,9.565943243466127344e-01
4.533086218741846918e-01,-9.432387318227649642e-01,9.432387318227649642e-01
4.563033560327948712e-01,-9.298831394684247131e-01,9.298831394684247131e-01
4.593178745772472649e-01,-9.165275480744489167e-01,9.165275480744490277e-01
4.623523082109373128e-01,-9.065108518252545933e-01,9.065108518252547043e-01
4.642582382612699399e-01,-8.964941586401734552e-01,8.964941586401734552e-01
4.654067885007383554e-01,-8.931552593720156752e-01,8.931552593720156752e-01
4.684814478827059037e-01,-8.797996674774248849e-01,8.797996674774248849e-01
4.715764196678198794e-01,-8.697829720156771138e-01,8.697829720156772249e-01
