beta,lambda_c1,lambda_c2
2.000000000000000111e-01,nan,nan
2.103830347439319404e-01,nan,nan
2.213051065403324191e-01,nan,nan
2.327941995914215301e-01,nan,nan
2.448797509041393539e-01,nan,nan
2.575927257127547110e-01,nan,nan
2.709656968170530145e-01,nan,nan
2.850329280393789633e-01,nan,nan
2.998304620143665833e-01,nan,nan
3.153962125362883007e-01,nan,nan
3.317700617006323904e-01,nan,nan
3.489939620888029004e-01,nan,nan
3.671120442577554543e-01,nan,nan
3.861707298099762431e-01,nan,nan
4.062188503335089074e-01,nan,nan
4.273077725167734875e-01,nan,nan
4.494915297587426251e-01,-9.599332225735072166e-01,9.599332225735073276e-01
4.728269606116833335e-01,-8.631051762993044996e-01,8.631051762993046106e-01
4.973738544111775961e-01,-7.729549264886774740e-01,7.729549264886774740e-01
5.231951044665505979e-01,-6.894824716769515360e-01,6.894824716769517581e-01
5.503568692042070110e-01,-6.126878133616899813e-01,6.126878133616899813e-01
5.789287416767514571e-01,-5.392320537564774252e-01,5.392320537564774252e-01
6.089839278722040117e-01,-4.691151928186095832e-01,4.691151928186096942e-01
6.405994342801702990e-01,-4.056761275102764852e-01,4.056761275102764852e-01
6.738562651955409821e-01,-3.455759618284338641e-01,3.455759618284338641e-01
7.088396302652484327e-01,-2.921535896939742583e-01,2.921535896939742583e-01
7.456391628098483215e-01,-2.420701171142489450e-01,2.420701171142490560e-01
7.843491494793031205e-01,-1.953255427882344131e-01,1.953255427882345241e-01
8.250687718313883812e-01,-1.519198666541816123e-01,1.519198666541817233e-01
8.679023604516813428e-01,-1.118530886959043513e-01,1.118530886959043513e-01
9.129596622662330407e-01,-7.512520890133035645e-02,7.512520890133035645e-02
9.603561217318264953e-01,-4.173622725520090282e-02,4.173622725520101384e-02
1.010213176624272791e+00,-1.168614374875441911e-02,1.168614374875441911e-02
1.062658569182611146e+00,1.836393861576946993e-02,-1.836393861576946993e-02
1.117826673406411508e+00,4.173622680220211156e-02,-4.173622680220200054e-02
1.175858839344774642e+00,6.510851369134414146e-02,-6.510851369134414146e-02
1.236903755259156190e+00,8.514190266511638405e-02,-8.514190266511627303e-02
1.301117828587934566e+00,1.018363937756750770e-01,-1.018363937756749660e-01
1.368665586688823543e+00,1.185308843470132406e-01,-1.185308843470132406e-01
1.439720098385893987e+00,1.318864771464779151e-01,-1.318864771464778041e-01
1.514463417401282985e+00,1.419031718349071658e-01,-1.419031718349070548e-01
1.593087048807739992e+00,1.519198663358827806e-01,-1.519198663358826695e-01
1.675792439697133984e+00,1.619365607505782734e-01,-1.619365607505782734e-01
1.762791495322102886e+00,1.686143571234544891e-01,-1.686143571234544891e-01
1.854307122033288513e+00,1.752921533875987647e-01,-1.752921533875987647e-01
1.950573798403249182e+00,1.786310516488076594e-01,-1.786310516488076594e-01
2.051838176000370773e+00,1.819699498249946201e-01,-1.819699498249946201e-01
2.158359711352059396e+00,1.853088479690271906e-01,-1.853088479690271906e-01
2.270411330716415765e+00,1.886477459910676779e-01,-1.886477459910675669e-01
2.388280129365642157e+00,1.886477461202814287e-01,-1.886477461202813177e-01
2.512268107172870302e+00,1.886477461440727310e-01,-1.886477461440726200e-01
2.642692942387111721e+00,1.886477461429759139e-01,-1.886477461429758029e-01
2.779888805578857092e+00,1.886477461180352810e-01,-1.886477461180351700e-01
2.924207215841820418e+00,1.886477460123154037e-01,-1.886477460123152927e-01
3.076017941444530557e+00,1.853088480018474093e-01,-1.853088480018474093e-01
3.235709947239413076e+00,1.853088479292201163e-01,-1.853088479292201163e-01
3.403692391256778027e+00,1.819699498421826211e-01,-1.819699498421826211e-01
3.580395673037159110e+00,1.819699497349814010e-01,-1.819699497349814010e-01
3.766272536388000525e+00,1.786310516646981983e-01,-1.786310516646981983e-01
3.961799229390166488e+00,1.786310513094235553e-01,-1.786310513094235553e-01
4.167476724626371087e+00,1.752921534583018470e-01,-1.752921534583018470e-01
4.383832002757986679e+00,1.719532553492575111e-01,-1.719532553492575111e-01
4.611419402738973439e+00,1.719532551280565091e-01,-1.719532551280565091e-01
4.850822042126376132e+00,1.686143571507520145e-01,-1.686143571507520145e-01
5.102653311126520208e+00,1.652754590314263472e-01,-1.652754590314263472e-01
5.367558444204850510e+00,1.652754589137892804e-01,-1.652754589137892804e-01
5.646216173286171092e+00,1.619365608509798216e-01,-1.619365608509798216e-01
5.939340466781076522e+00,1.619365605900749960e-01,-1.619365605900749960e-01
6.247682358894220300e+00,1.585976626727454708e-01,-1.585976626727453598e-01
6.572031873901466703e+00,1.585976622151778204e-01,-1.585976622151777093e-01
6.913220050326201793e+00,1.552587645066192679e-01,-1.552587645066191568e-01
7.272121070201119863e+00,1.552587641793684858e-01,-1.552587641793683748e-01
7.649654498871012009e+00,1.519198663558291307e-01,-1.519198663558290197e-01
8.046787641075276554e+00,1.519198662280334677e-01,-1.519198662280333567e-01
8.464538019346909081e+00,1.485809682116821517e-01,-1.485809682116820407e-01
8.903975981077966395e+00,1.485809681657038195e-01,-1.485809681657037085e-01
9.366227440931305992e+00,1.485809679855281673e-01,-1.485809679855280563e-01
9.852476765625096888e+00,1.452420700481564797e-01,-1.452420700481563687e-01
1.036396980848143912e+01,1.452420700176667301e-01,-1.452420700176666191e-01
1.090201710151406012e+01,1.452420699524192005e-01,-1.452420699524190895e-01
1.146799721323386301e+01,1.452420697226757540e-01,-1.452420697226756430e-01
1.206336028077547162e+01,1.419031718871928971e-01,-1.419031718871927861e-01
1.268963172539477213e+01,1.419031718719658552e-01,-1.419031718719657442e-01
1.334841616085715188e+01,1.419031718517324292e-01,-1.419031718517323182e-01
1.404140150473036286e+01,1.419031718242514117e-01,-1.419031718242513007e-01
1.477036330311592849e+01,1.419031717858887653e-01,-1.419031717858886543e-01
1.553716927989967722e+01,1.419031717303852747e-01,-1.419031717303851636e-01
1.634378412217742849e+01,1.419031716460418813e-01,-1.419031716460417702e-01
1.719227451411688179e+01,1.419031715083008682e-01,-1.419031715083007572e-01
1.808481443215334750e+01,1.419031712556232672e-01,-1.419031712556231561e-01
1.902369071508639564e+01,1.419031706783504820e-01,-1.419031706783503710e-01
2.001130892334917988e+01,1.419031683016262757e-01,-1.419031683016261647e-01
2.105019950246263605e+01,1.385642737224334620e-01,-1.385642737224333509e-01
2.214302426646646538e+01,1.385642737208723774e-01,-1.385642737208722663e-01
2.329258321793872355e+01,1.385642737196400853e-01,-1.385642737196399743e-01
2.450182172207762576e+01,1.385642737186917883e-01,-1.385642737186916773e-01
2.577383805322742916e+01,1.385642737179796913e-01,-1.385642737179795803e-01
2.711189133318311661e+01,1.385642737174574979e-01,-1.385642737174573869e-01
2.851940988161383572e+01,1.385642737170833527e-01,-1.385642737170832417e-01
3.000000000000000000e+01,1.385642737168213401e-01,-1.385642737168212291e-01
inf,1.385642737163197136e-01,-1.385642737163196025e-01
