beta,lambda_c1,lambda_c2
2.000000000000000111e-01,nan,nan
2.086010436124213774e-01,nan,nan
2.175719769809566217e-01,nan,nan
2.269287072952263506e-01,nan,nan
2.366878258370095633e-01,nan,nan
2.468666373997760455e-01,nan,nan
2.574831909734124902e-01,nan,nan
2.685563117485511575e-01,nan,nan
2.801056344972527312e-01,nan,nan
2.921516383892318602e-01,nan,nan
3.047156833053625835e-01,nan,nan
3.178200477128535484e-01,nan,nan
3.314879681692539659e-01,nan,nan
3.457436805253374934e-01,nan,nan
3.606124628999249349e-01,nan,nan
3.761206805028496358e-01,nan,nan
3.922958323855426643e-01,nan,nan
4.091666002021386306e-01,nan,nan
4.267628990675624845e-01,nan,nan
4.451159306027798190e-01,-9.799666114199517830e-01,9.799666114199518940e-01
4.476661103252560503e-01,-9.666110195500409175e-01,9.666110195500410285e-01
4.642582382612699399e-01,-8.964941586401734552e-01,8.964941586401734552e-01
4.842237650348253930e-01,-8.196995008229109869e-01,8.196995008229109869e-01
5.050479136410024328e-01,-7.495826380600703054e-01,7.495826380600704164e-01
5.267676092989457270e-01,-6.794657768066205694e-01,6.794657768066205694e-01
5.494213652049015906e-01,-6.126878159255431111e-01,6.126878159255431111e-01
5.730493508235188216e-01,-5.525876466149000077e-01,5.525876466149000077e-01
5.976934631160329969e-01,-4.958263775894787284e-01,4.958263775894787284e-01
6.233974008316337523e-01,-4.390651093577455644e-01,4.390651093577455644e-01
6.502067419937486159e-01,-3.889816363861584025e-01,3.889816363861584025e-01
6.781690247186418219e-01,-3.388981644721851816e-01,3.388981644721851816e-01
7.073338315096333595e-01,-2.954924877197223076e-01,2.954924877197223076e-01
7.377528771764105819e-01,-2.520868116451994156e-01,2.520868116451995267e-01
7.500000000000000000e-01,-2.353923209465630384e-01,2.353923209465630384e-01
7.523082080349725587e-01,-2.320534229129114223e-01,2.320534229129114223e-01
7.546235198357220675e-01,-2.287145250146861986e-01,2.287145250146861986e-01
7.569459572648741252e-01,-2.253756276899405719e-01,2.253756276899405719e-01
7.592755422523391751e-01,-2.253756262480362260e-01,2.253756262480362260e-01
7.616122967955192280e-01,-2.220367281166204243e-01,2.220367281166204243e-01
7.639562429595155857e-01,-2.186978299992386743e-01,2.186978299992386743e-01
